title,release_year,runtime,id,director,user_reviews,star_rating,vote_count,gross_revenue (million USD),release_month,spring,summer,fall,winter,is_popular_director,G,PG,PG-13,R,Unrated
4238_mad_hot_ballroom,2005,105,tt0438205,Marilyn Agrelo,68,10.0,3600,17.222288,July,0,1,0,0,0,0,1,0,0,0
4239_hoot,2006,91,tt0453494,Wil Shriner,78,5.3,9000,16.342635,May,1,0,0,0,0,0,1,0,0,0
4240_the_road,2009,111,tt0898367,John Hillcoat,672,7.0,263000,35.756579,November,0,0,1,0,0,0,0,0,1,0
4241_before_midnight,2013,109,tt2209418,Richard Linklater,399,8.1,179000,28.820209,June,0,1,0,0,1,0,0,0,1,0
4242_inherent_vice,2014,148,tt1791528,Paul Thomas Anderson,363,6.6,114000,22.92195,January,0,0,0,1,1,0,0,0,1,0
4243_the_philadelphia_experiment,1984,102,tt0087910,Stewart Raffill,91,4.5,17000,16.20666,August,0,1,0,0,0,0,1,0,0,0
4244_fresh,1994,114,tt0109842,Boaz Yakin,127,7.5,16000,16.189232,September,0,0,1,0,0,0,0,0,1,0
4245_the_shootist,1976,100,tt0075213,Don Siegel,208,7.4,28000,16.18382,July,0,1,0,0,1,0,1,0,0,0
4246_streets_of_fire,1984,93,tt0088194,Walter Hill,236,3.3,26000,16.179826,June,0,1,0,0,0,0,1,0,0,0
4247_connie_and_carla,2004,98,tt0345074,Michael Lembeck,124,6.3,8800,19.426787,April,1,0,0,0,0,0,0,1,0,0
4248_my_giant,1998,103,tt0120765,Michael Lehmann,34,5.0,7300,16.144014,April,1,0,0,0,0,0,1,0,0,0
4249_bella,2006,91,tt0482463,Alejandro Monteverde,186,7.1,11000,20.153833,November,0,0,1,0,0,0,0,1,0,0
4250_punisher_war_zone,2008,103,tt0450314,Lexi Alexander,372,5.9,69000,18.21247,December,0,0,0,1,0,0,0,0,1,0
4251_aspen_extreme,1993,113,tt0106315,Patrick Hasburgh,45,6.0,3300,16.082098,January,0,0,0,1,0,0,0,1,0,0
4252_haunted_honeymoon,1986,82,tt0091178,Gene Wilder,53,6.0,8400,16.066794,July,0,1,0,0,0,0,1,0,0,0
4253_the_texas_chainsaw_massacre_2,1986,101,tt0092076,Tobe Hooper,367,6.0,41000,16.053578,August,0,1,0,0,0,0,0,0,0,1
4254_the_meteor_man,1993,100,tt0107563,Robert Townsend,33,5.1,9100,16.033416,August,0,1,0,0,0,0,1,0,0,0
4255_silent_night,2023,104,tt15799866,John Woo,295,8.0,25000,19.079331,December,0,0,0,1,1,0,0,0,1,0
4256_the_great_white_hype,1996,91,tt0116448,Reginald Hudlin,33,5.5,11000,16.01651,May,1,0,0,0,0,0,0,0,1,0
4257_machete_kills,2013,107,tt2002718,Robert Rodriguez,208,6.6,84000,25.545347,October,0,0,1,0,0,0,0,0,1,0
4258_blackhat,2015,133,tt2717822,Michael Mann,366,5.5,66000,27.658037,January,0,0,0,1,1,0,0,0,1,0
4259_strange_days,1995,145,tt0114558,Kathryn Bigelow,296,7.6,81000,15.919042,October,0,0,1,0,0,0,0,0,1,0
4260_blankman,1994,92,tt0109288,Mike Binder,32,5.1,11000,15.883954,August,0,1,0,0,0,0,0,1,0,0
4261_a_thousand_acres,1997,105,tt0120323,Jocelyn Moorhouse,40,6.1,6000,15.87356,September,0,0,1,0,0,0,0,0,1,0
4262_unstrung_heroes,1995,93,tt0114798,Diane Keaton,32,6.7,3300,15.858868,September,0,0,1,0,0,0,1,0,0,0
4263_the_chase,1994,94,tt0109402,Adam Rifkin,90,5.9,23000,15.84991,March,1,0,0,0,0,0,0,1,0,0
4264_bushwhacked,1995,90,tt0112602,Greg Beeman,29,5.6,7100,15.839646,August,0,1,0,0,0,0,0,1,0,0
4265_arbitrage,2012,107,tt1764183,Nicholas Jarecki,197,7.0,56000,43.40463,September,0,0,1,0,0,0,0,0,1,0
4266_the_brinks_job,1978,104,tt0077275,William Friedkin,27,6.5,3700,15.8199,December,0,0,0,1,1,0,1,0,0,0
4267_teen_wolf_too,1987,95,tt0094118,Christopher Leitch,84,3.5,13000,15.777406,November,0,0,1,0,0,0,1,0,0,0
4268_the_funhouse,1981,96,tt0082427,Tobe Hooper,190,5.5,17000,15.773856,March,1,0,0,0,0,0,0,0,1,0
4269_the_space_between_us,2017,120,tt3922818,Peter Chelsom,276,7.0,58000,23.965769,February,0,0,0,1,0,0,0,1,0,0
4270_city_of_ember,2008,90,tt0970411,Gil Kenan,159,6.1,71000,25.802691,October,0,0,1,0,0,0,1,0,0,0
4271_trumbo,2015,124,tt3203606,Jay Roach,239,7.4,86000,19.287766,November,0,0,1,0,0,0,0,0,1,0
4272_fatal_instinct,1993,91,tt0106873,Carl Reiner,61,5.7,8400,15.678654,October,0,0,1,0,0,0,0,1,0,0
4273_the_night_listener,2006,91,tt0448075,Patrick Stettner,170,6.0,16000,18.476079,August,0,1,0,0,0,0,0,0,1,0
4274_hoop_dreams,1994,170,tt0110057,Steve James,103,5.8,29000,19.661222,October,0,0,1,0,0,0,0,1,0,0
4275_serial_mom,1994,95,tt0111127,John Waters,158,7.0,36000,15.644125,April,1,0,0,0,0,0,0,0,1,0
4276_slither,2006,95,tt0439815,James Gunn,440,6.7,92000,20.637386,March,1,0,0,0,0,0,0,0,1,0
4277_house_ii_the_second_story,1987,88,tt0093220,Ethan Wiley,110,5.0,13000,15.6,August,0,1,0,0,0,0,0,1,0,0
4278_the_best_of_times,1986,104,tt0090713,Roger Spottiswoode,55,6.0,8600,15.608245,January,0,0,0,1,0,0,0,1,0,0
4279_if_looks_could_kill,1991,88,tt0102095,William Dear,45,6.2,8100,15.577194,March,1,0,0,0,0,0,0,1,0,0
4280_bad_words,2013,89,tt2170299,Jason Bateman,174,6.1,57000,15.583951,March,1,0,0,0,0,0,0,0,1,0
4281_the_return,2005,85,tt0433442,Asif Kapadia,140,5.4,13000,19.744046,November,0,0,1,0,0,0,0,1,0,0
4282_the_beast_within,1982,98,tt0083629,Philippe Mora,87,5.6,4900,15.485144,February,0,0,0,1,0,0,0,0,1,0
4283_unsane,2018,98,tt7153766,Steven Soderbergh,420,6.4,51000,22.0265,March,1,0,0,0,0,0,0,0,1,0
4284_surviving_the_game,1994,96,tt0111323,Ernest R. Dickerson,81,6.2,14000,15.454512,April,1,0,0,0,0,0,0,0,1,0
4285_expelled_no_intelligence_allowed,2008,90,tt1091617,Nathan Frankowski,399,4.5,12000,15.440974,April,1,0,0,0,0,0,1,0,0,0
4286_tupac_resurrection,2003,112,tt0343121,Lauren Lazin,39,6.7,9900,15.527485,November,0,0,1,0,0,0,0,0,1,0
4287_the_collector,2009,90,tt0844479,Marcus Dunstan,328,6.3,76000,17.946589,July,0,1,0,0,0,0,0,0,1,0
4288_kevin_hart_laugh_at_my_pain,2011,89,tt1999192,Leslie Small,10,7.5,6600,15.412872,April,1,0,0,0,0,0,0,0,1,0
4289_mortdecai,2015,107,tt3045616,David Koepp,316,7.0,78000,54.971851,January,0,0,0,1,0,0,0,0,1,0
